id,dto,categoría,nivel,texto,A,B,C,D,correct_letter,why,activo
239,Recepción,Supervisión de Ocupación (Inventory),Avanzado,"Tras modificar la tipología, ¿qué debes seleccionar para mantener la tarifa correcta?",Actualizar precio automáticamente,Mantener precio original,Aplicar tarifa BAR actual,Eliminar todos los suplementos,B,"Al guardar el cambio, selecciona 'mantener precio'. Si el PMS recalcula, introducir manualmente el importe original garantizando coherencia contable.",1
240,Recepción,Supervisión de Ocupación (Inventory),Intermedio,"Tras el cambio, ¿qué debes verificar en Observaciones?","Nada, no es necesario",Que figure una nota tipo 'Cuadre orig: [tipología original]',Que la reserva tenga comentarios del cliente,Que se borre la observación anterior,B,Siempre deja traza en Observaciones con formato estándar: 'Cuadre orig: [tipología original]'. Facilita futuras reubicaciones y control interno.,1
241,Recepción,Supervisión de Ocupación (Inventory),Básico,¿Qué tres elementos deben confirmarse tras la corrección?,"Precio, régimen y observaciones correctas","Tarifa, canal y país del cliente","Tipo de cama, minibar y TV","Email, check-in y factura",A,"Tras corregir, verifica: precio idéntico al original, régimen correcto y Observaciones actualizadas. Así se garantiza coherencia y trazabilidad.",1
242,Recepción,Atención al Cliente y Protocolo,Básico,¿Cuál es la primera frase recomendada al recibir a un huésped que llega al mostrador?,¿Tiene usted reserva?,"Buenos días, bienvenido/a al hotel. ¿Tiene reserva a su nombre?","Documento de identidad, por favor.","Hola, ¿qué necesita?",B,El saludo cordial y personalizado refuerza la imagen del hotel. Se combina cortesía y eficacia al verificar la reserva.,1
243,Recepción,Atención al Cliente y Protocolo,Básico,¿Qué actitud debe mantener el recepcionista cuando el huésped formula una queja?,Responder inmediatamente con una solución.,Tomar nota sin comprometerse y evitar contacto visual.,"Escuchar con atención, mostrar empatía y registrar la incidencia.",Derivar al jefe sin escuchar detalles.,C,"El protocolo indica escuchar activamente, empatizar y registrar en el parte de incidencias antes de buscar la solución.",1
244,Recepción,Atención al Cliente y Protocolo,Básico,¿Qué información debe verificarse siempre antes de entregar una llave o tarjeta de habitación?,El número de habitación y el régimen contratado.,El nombre completo y la documentación del huésped.,El color de la tarjeta.,El número de reserva.,B,"Por seguridad, se debe comprobar la identidad del huésped con su documento y confirmar la habitación asignada en el PMS.",1
245,Recepción,Atención al Cliente y Protocolo,Básico,"Si un cliente solicita una habitación superior disponible, ¿cómo debe actuar el recepcionista?",Ofrecerla sin coste para quedar bien.,Informar del suplemento y ofrecer la mejora como upselling.,Decir que no hay posibilidad de cambio.,Avisar al departamento de pisos.,B,El upselling es parte del protocolo comercial: se informa del coste adicional y se ofrece amablemente como mejora opcional.,1
246,Recepción,Atención al Cliente y Protocolo,Básico,¿Cuál es la forma correcta de atender una llamada entrante al hotel?,¿Dígame?,"Hotel Guadiana, buenos días/tardes, le atiende Recepción.","Recepción, ¿qué quiere?","Hola, habla el hotel.",B,"El protocolo telefónico incluye saludo, identificación del hotel y del departamento. Transmite profesionalidad y cercanía.",1
247,Recepción,Atención al Cliente y Protocolo,Intermedio,Un huésped informa de un fallo en el aire acondicionado. ¿Cuál es el procedimiento correcto?,Anotar la incidencia y avisar al departamento de mantenimiento.,Indicarle que llame él mismo a mantenimiento.,Decirle que no se puede hacer nada hasta el día siguiente.,Esperar a que lo comunique el supervisor.,A,"El protocolo establece registrar la incidencia en el parte, comunicarla de inmediato a mantenimiento y hacer seguimiento.",1
248,Recepción,Atención al Cliente y Protocolo,Intermedio,"En caso de overbooking confirmado, ¿cuál es la prioridad de actuación?",Informar al cliente al llegar y derivarlo a otro hotel sin más.,Contactar con el huésped antes de su llegada y ofrecer alternativa equivalente o superior.,Esperar a que llegue y explicarle que no hay habitaciones.,Cancelar la reserva unilateralmente.,B,El procedimiento marca contactar antes de la llegada y gestionar la reubicación asegurando nivel igual o superior y traslado incluido.,1
249,Recepción,Atención al Cliente y Protocolo,Intermedio,"Si un huésped pierde un objeto en zonas comunes, ¿qué debe hacerse?",Ignorarlo salvo que el cliente insista.,Informar al supervisor y registrar en el libro de objetos perdidos.,Guardar el objeto sin etiquetar.,Entregarlo directamente al cliente sin comprobación.,B,El registro en el libro de objetos perdidos garantiza trazabilidad y cumplimiento del protocolo de seguridad del hotel.,1
250,Recepción,Atención al Cliente y Protocolo,Intermedio,Un huésped manifiesta disconformidad con el ruido exterior. ¿Qué debe ofrecerse como primera medida?,Cambio de habitación según disponibilidad.,Descuento inmediato del 10 %.,Decirle que es normal y no se puede evitar.,Ofrecer tapones auditivos sin más.,A,El protocolo de satisfacción prioriza la acción correctiva: ofrecer un cambio de habitación si es posible antes de compensar económicamente.,1
251,Recepción,Atención al Cliente y Protocolo,Avanzado,"Durante un check-in VIP, el cliente solicita un servicio especial no previsto. ¿Cómo debe actuar el recepcionista?",Rechazarlo por no estar incluido.,Consultar con el jefe de recepción o dirección y confirmar disponibilidad.,Ofrecerlo sin consultar para agradar al cliente.,Remitirlo directamente a otro departamento.,B,"En clientes VIP se prioriza flexibilidad y atención personalizada, pero toda excepción debe coordinarse y autorizarse por dirección.",1
252,Recepción,Gestión Administrativa y Cobros,Básico,¿Cuál es el primer paso antes de iniciar el arqueo de caja?,Contar el dinero en efectivo directamente.,Verificar los importes iniciales y los movimientos del turno anterior.,Imprimir el listado de reservas del día.,Cerrar el PMS.,B,El arqueo comienza revisando el saldo inicial y los movimientos del turno anterior para evitar descuadres y errores de arrastre.,1
253,Recepción,Gestión Administrativa y Cobros,Básico,¿Qué debe hacerse cuando un cliente realiza un pago parcial en efectivo?,Registrar solo la parte pagada y anotar el saldo pendiente en la reserva.,Esperar a que pague el total antes de registrar.,Emitir una factura provisional y anularla después.,Dejar el pago sin registrar hasta el check-out.,A,"Cada abono parcial debe registrarse y vincularse al expediente, reflejando saldo pendiente visible para los siguientes turnos.",1
254,Recepción,Gestión Administrativa y Cobros,Básico,¿Qué documento respalda una reserva con depósito previo?,Confirmación verbal.,Email interno.,Justificante bancario o recibo de señal.,Parte de mantenimiento.,C,"Todo depósito o señal debe quedar respaldado por justificante bancario o recibo, archivado junto a la reserva para auditoría.",1
255,Recepción,Gestión Administrativa y Cobros,Básico,"En un pago con tarjeta rechazada, ¿qué se debe hacer primero?",Anular la reserva.,Solicitar otro medio de pago al huésped y registrar la incidencia.,Ignorar el aviso y repetir el cargo más tarde.,Registrar el pago como pendiente.,B,"El protocolo marca informar al cliente, ofrecer alternativa (otra tarjeta o efectivo) y registrar el intento fallido en el PMS.",1
256,Recepción,Gestión Administrativa y Cobros,Básico,¿Qué debe comprobarse antes de emitir una factura a empresa?,Que el huésped tenga número de habitación.,Que el crédito esté autorizado y el CIF correcto.,Que el cliente haya solicitado desayuno.,"Nada, se factura automáticamente.",B,"Antes de facturar a empresa se verifica la autorización de crédito y la información fiscal (CIF, dirección) para evitar rechazos.",1
257,Recepción,Gestión Administrativa y Cobros,Intermedio,¿Qué procedimiento se sigue para validar un bono de agencia en el check-in?,Solo se guarda el bono sin verificar nada.,"Se comprueba nombre, fechas, régimen y observaciones especiales.",Se acepta automáticamente si proviene de agencia conocida.,Se cobra al huésped igualmente por seguridad.,B,"El bono se valida comprobando datos clave: nombre, fechas, régimen contratado y observaciones. Se adjunta copia al expediente.",1
258,Recepción,Gestión Administrativa y Cobros,Intermedio,"Durante el cierre de caja, detectas una diferencia de 10 €. ¿Qué debes hacer?",Ignorarla si es pequeña.,Ajustarla manualmente para cuadrar.,Notificarlo en el parte de turno e informar al supervisor.,Dejarla para que el siguiente turno la resuelva.,C,"Toda diferencia, aunque sea pequeña, debe registrarse en el parte y comunicarse para su revisión y trazabilidad contable.",1
259,Recepción,Gestión Administrativa y Cobros,Intermedio,¿Qué acción se considera incorrecta al cerrar el día según el Manual del Turno de Noche?,Revisar que no queden llegadas pendientes y que los no show estén gestionado,Dejar facturación o tareas del cierre sin completar para el turno siguiente,Cerrar la caja del turno y verificar que efectivo y TPV coinciden,Imprimir listados de llegadas y salidas para el equipo de la mañana,B,"El Manual del Turno de Noche indica que antes del cierre deben revisarse las llegadas, los no show, el inventario real y el cuadre de caja, y que después del cierre deben dejarse los listados y la operativa preparada para la mañana. Cerrar el día dejando tareas críticas sin completar es incorrecto porque compromete la auditoría y la operativa del siguiente turno.",1
260,Recepción,Gestión Administrativa y Cobros,Intermedio,"Si un cliente solicita factura tras su salida, ¿qué debe hacerse?",Negarse si ya ha hecho check-out.,"Emitirla con los datos fiscales que proporcione, registrando el envío.",Cobrar un suplemento administrativo.,Emitirla sin datos fiscales.,B,El protocolo establece emitir la factura con datos fiscales actualizados y registrar su envío por correo o entrega personal.,1
261,Recepción,Gestión Administrativa y Cobros,Avanzado,Un huésped con cuenta crédito empresa no tiene orden de facturación y exige marcharse sin pagar. ¿Cómo se actúa?,Permitir su salida para evitar conflicto.,Solicitar depósito temporal hasta confirmar con la empresa.,Anular los cargos temporalmente.,Emitir factura sin datos.,B,"En caso de crédito no confirmado, se solicita depósito o garantía mientras se contacta con la empresa. Evita riesgo de impago.",1
262,Recepción,Errores Comunes,Avanzado,"Según el protocolo operativo de bonos Smartbox, ¿en qué momento puede modificarse el número de bono asociado a una reserva en el PMS sin generar una desincronización con la plataforma?","En cualquier momento, siempre que el PMS haya ejecutado la “sincronización de códigos” y el bono aparezca como pendiente de uso.","En el momento de la creación de la reserva, antes de que el sistema realice la verificación preliminar en Smartbox","Durante el check-in, cuando el huésped presenta el bono físico y el sistema detecta el número antiguo como “validado parcialmente”.","Únicamente durante la noche previa a la llegada, cuando el PMS entra en modo de conciliación y permite actualizar el código sin romper la validación automática.",D,"Los bonos Smartbox se validan y sincronizan automáticamente con la plataforma.
Modificar el código antes o después del ciclo nocturno previo a la llegada genera errores de conciliación, validaciones duplicadas y pérdida de trazabilidad.
Por ello, el procedimiento establece que solo puede cambiarse la noche anterior, cuando el PMS ejecuta la verificación final previa al uso del servicio.",1
263,Recepción,Supervisión de Ocupación (Inventory),Avanzado,"Si en el Planning de Ocupación aparece un negativo en una tipología concreta, ¿qué procedimiento garantiza una corrección válida sin alterar el Inventory ni generar inconsistencias de trazabilidad?","Ajustar manualmente la columna blanca del Inventory para compensar el negativo mediante un valor positivo, siempre que no afecte a otras tipologías.",Modificar temporalmente la tarifa base (BAR) para forzar al PMS a recalcular la disponibilidad y eliminar la sobreocupación de forma automática.,"Reasignar la tipología desde el panel de Disponibilidad sin acceder a la reserva, siempre que la nueva categoría tenga inventario sobrante.","Acceder al listado pulsando la celda del bloque Ocupadas, identificar la reserva que excede el inventario, cambiar manualmente su tipología desde la propia reserva y registrar obligatoriamente en Observaciones: “Cuadre orig: [tipología original] → cambio manual para normalizar ocupación”.",D,"Un negativo en el Planning de Ocupación indica que una tipología tiene más reservas asignadas que habitaciones disponibles para ese día, es decir, una situación real de sobreocupación. El Inventory no debe modificarse y tampoco deben utilizarse recálculos automáticos del PMS, ya que generarían inconsistencias. La única corrección válida consiste en acceder al listado pulsando la celda del bloque Ocupadas, identificar la reserva que provoca el exceso, cambiar su tipología desde la propia reserva manteniendo el precio exactamente igual y registrar de forma obligatoria en Observaciones la traza estándar “Cuadre orig: [tipología original] → cambio manual para normalizar ocupación”, garantizando así la trazabilidad operativa entre turnos.",1
264,Recepción,Supervisión de Ocupación (Inventory),Avanzado,"Si en Ocupación → Disponibilidad aparece un valor negativo en una tipología, ¿qué representa exactamente según el procedimiento de Supervisión de Ocupación?",Un fallo temporal del PMS que recalculará la disponibilidad durante el proceso nocturno,Que la tipología está en sobreocupación porque hay más reservas asignadas que habitaciones reales disponibles,Que el hotel tiene todas sus habitaciones libres pero no se han sincronizado los canales,Que Inventory ha aplicado de forma automática un ajuste manual para equilibrar el stock,B,Un negativo no es un error del sistema sino un indicador de sobreocupación que muestra que el cupo real ha sido superado; la corrección debe hacerse reubicando la reserva que provoca el exceso sin modificar Inventory.,1
265,Recepción,Operativa Turnos,Avanzado,"Antes de que los huéspedes bajen a realizar el check-out, ¿qué actuación garantiza que la salida pueda gestionarse sin incidencias y sin necesidad de corregir cargos en mostrador?",Revisar únicamente las reservas con regímenes especiales y dejar las habitaciones estándar para verificarlas a medida que el cliente las solicite,Predecir posibles errores de cobro revisando el histórico de estancias previas del huésped,"Verificar anticipadamente saldos, cargos, consumos y facturas a crédito para asegurar que la cuenta esté lista y correcta antes de la llegada del cliente a recepción",Comprobar el estado de limpieza de cada habitación antes de acceder a la ficha del cliente en el PMS,C,El turno de mañana debe revisar anticipadamente todos los saldos y cargos pendientes antes de que los huéspedes bajen para garantizar que la cuenta esté completa y correcta y evitar retrasos en el check-ou,1
266,Recepción,Operativa Turnos,Avanzado,"Durante la segunda verificación de reservas en el turno de mañana, ¿qué acción asegura que el proceso de asignación sea coherente con los huecos reales del rack y con las peticiones del cliente?",Asignar las habitaciones siguiendo estricto orden numérico para evitar saltos en el rack,Consultar únicamente las reservas con observaciones especiales y dejar las demás para el turno de tarde,"Verificar de nuevo los datos de cada reserva en PMS y Channel Manager, revisar solicitudes, régimen y extras y asignar habitaciones evitando huecos difíciles de vender durante el resto del día",Modificar el tipo de habitación de todas las reservas con tarifa BAR para facilitar una limpieza más eficiente,C,"El turno de mañana realiza una segunda revisión completa de reservas y asignaciones verificando datos, régimen y observaciones y optimizando el rack para que no queden huecos complicados de ocupar más adelante.",1
267,Recepción,Operativa Turnos,Avanzado,"En la coordinación inicial con el departamento de limpieza, ¿qué actuación permite garantizar que las habitaciones urgentes queden listas a tiempo sin generar reorganizaciones innecesarias durante el día?",Priorizar siempre las habitaciones de huéspedes VIP aunque tengan salida tardía confirmada,Solicitar a Housekeeping que asigne el personal según su criterio para agilizar el proceso de limpieza,"Indicar correctamente las salidas del día, comunicar montajes previstos como cunas o supletorias y organizar el trabajo por plantas evitando cambios de turno y montajes repetidos",Bloquear todas las habitaciones de la planta de llegada anticipada para asegurar disponibilidad absoluta,C,"Al inicio del turno, recepción debe entregar a Housekeeping las salidas correctas, las habitaciones prioritarias y las necesidades de montaje organizando el flujo por plantas para evitar montajes dobles y retrasos.",1
268,Recepción,Operativa Turnos,Avanzado,"¿Qué puede ocurrir si el MR-HOSPE no se envía ni valida con frecuencia, tal como indica el protocolo interno?",Que se acumulen errores en los registros y sea necesario recuperar manualmente entradas o check-outs anteriores,Que el hotel quede automáticamente bloqueado en todas las OTAs,Que el servicio de desayunos no pueda generar su previsión diaria,Que el turn-down de habitaciones se realice con retraso,A,"No enviar el MR-HOSPE con frecuencia provoca acumulación de registros sin validar, lo que obliga a recuperar manualmente viajeros, estancias y check-outs anteriores, aumentando errores y duplicidades.",1
269,Recepción,Operativa Turnos,Avanzado,"¿Qué riesgo técnico aparece cuando el MR-HOSPE no se envía o valida con regularidad, según la incidencia descrita?",ue la generación del XML falle por registros incompletos o campos obligatorios sin rellenar,Que se acumulen estancias sin cerrar y haya que recuperar manualmente check-outs anteriores,Que los errores no se detecten a tiempo y se duplique el trabajo en la siguiente validación,Que la información del día quede retenida en el PMS sin poder enviarse correctamente al sistema de control de viajeros,A,"La incidencia indica que no validar el MR-HOSPE provoca que el XML falle al generarse por tener registros incompletos, especialmente en menores y acompañantes. Esto obliga a recuperar manualmente estancias anteriores y retrasa toda la operativa, pero la causa técnica directa del fallo es la falta de datos obligatorios para generar el XML.",1
270,Recepción,Operativa Turnos,Avanzado,"Según el Real Decreto 933/2021, ¿qué información debe constar obligatoriamente en el registro de viajeros para que el MR-HOSPE pueda enviarse sin errores?","Datos identificativos completos del viajero, datos de contacto del primer ocupante, domicilio declarado y la captura o soporte del documento presentado en el registro",Datos básicos del viajero junto con información operativa como preferencias de estancia y el país de procedencia indicado en la reserva,Datos de identificación del huésped complementados con información comercial como dirección de facturación y método de pago utilizado,Datos principales del ocupante más la información de llegada y cualquier observación relevante registrada durante el check-in,A,"El RD 933/2021 exige que el registro de viajeros incluya los datos identificativos completos del huésped —nombre, apellidos, fecha de nacimiento y documento con su fecha y país de expedición— junto con el domicilio declarado y un dato de contacto del primer ocupante, ya sea teléfono o correo electrónico. Además, es obligatorio conservar el soporte del documento presentado en el registro para asegurar la trazabilidad y la verificación posterior. Si falta cualquiera de estos elementos, el MR-HOSPE queda incompleto y el sistema no puede generar ni validar correctamente el XML requerido para la comunicación legal de viajeros.",1
271,Recepción,Operativa Turnos,Avanzado,"Si un viajero extranjero presenta un pasaporte que no incluye domicilio, ¿cómo debe proceder el recepcionista según el RD 933/2021?","Solicitar al viajero su domicilio declarado y registrarlo manualmente en el MR-HOSPE, ya que es un dato obligatorio para la comunicación",Usar la dirección del hotel como domicilio temporal para completar el registro,Indicar “sin domicilio” porque el documento no lo aporta,"Registrar únicamente el país de origen, ya que es el único dato exigido para extranjeros",A,"El RD 933/2021 exige registrar el domicilio declarado del viajero. Como el pasaporte no lo incorpora, el recepcionista debe pedirlo directamente al huésped y consignarlo manualmente en el MR-HOSPE. Sin este dato, el XML no puede validarse ni enviarse correctamente.",1
